amber	charmm	resi
C16	C36	ST
C17	C37	ST
C18	C38	ST
C19	C39	ST
C110	C310	ST
C111	C311	ST
C112	C312	ST
C113	C313	ST
C114	C314	ST
C115	C315	ST
C116	C316	ST
C117	C317	ST
C118	C318	ST
C35	C15	PS
C34	C14	PS
C33	C13	PS
N31	N	PS
C32	C12	PS
C31	C11	PS
P31	P	PS
O31	O11	PS
O32	O12	PS
O33	O13	PS
O34	O14	PS
C3	C1 	PS
C2	C2 	PS
C1	C3	PS
O21	O21	PS
O22	O22	PS
C21	C21	PS
C11	C31	PS
O11	O31	PS
O12	O32	PS
C12	C22	OL
C13	C23	OL
C14	C24	OL
C15	C25	OL
C16	C26	OL
C17	C27	OL
C18	C28	OL
C19	C29	OL
C110	C210	OL
C111	C211	OL
C112	C212	OL
C113	C213	OL
C114	C214	OL
C115	C215	OL
C116	C216	OL
C117	C217	OL
C118	C218	OL
>DPPS	PA	PS	PA
C12	C32	PA
C13	C33	PA
C14	C34	PA
C15	C35	PA
C16	C36	PA
C17	C37	PA
C18	C38	PA
C19	C39	PA
C110	C310	PA
C111	C311	PA
C112	C312	PA
C113	C313	PA
C114	C314	PA
C115	C315	PA
C116	C316	PA
C33	C13	PS
O35	O13A	PS
O36	O13B	PS
N31	N	PS
C32	C12	PS
C31	C11	PS
P31	P	PS
O31	O11	PS
O32	O12	PS
O33	O13	PS
O34	O14	PS
C3	C1 	PS
C2	C2 	PS
C1	C3	PS
O21	O21	PS
O22	O22	PS
C21	C21	PS
C11	C31	PS
O11	O31	PS
O12	O32	PS
C12	C22	PA
C13	C23	PA
C14	C24	PA
C15	C25	PA
C16	C26	PA
C17	C27	PA
C18	C28	PA
C19	C29	PA
C110	C210	PA
C111	C211	PA
C112	C212	PA
C113	C213	PA
C114	C214	PA
C115	C215	PA
C116	C216	PA
>POPG	PA	PGR	OL
C12	C32	PA
C13	C33	PA
C14	C34	PA
C15	C35	PA
